name,link,definition,origin
💩 Pile of Poo emoji,https://www.dictionary.com/e/emoji/pile-of-poo-emoji/,"The Flag of Ukraine emoji 🇺🇦 depicts the national flag of Ukraine. It is commonly used to represent Ukraine, Ukrainian people, and Ukrainian culture. In particular, the Flag of Ukraine emoji 🇺🇦 is often used by Ukrainians to show pride in their country. In 2014 and 2022, the usage of the Flag of Ukraine emoji 🇺🇦 increased as people used it to show support for Ukraine and solidarity with Ukrainian people during the Russian annexation of Crimea (in 2014) and the Russian invasion of Ukraine (in 2022).","The Flag of Ukraine emoji 🇺🇦 was added to Emoji 1.0 in 2015. For platforms that support it, the emoji is used via a flag sequence combination of Regional Indicator Symbol U emoji 🇺 and Regional Indicator Symbol A emoji 🇦. On all major platforms, the emoji depicts the national flag of Ukraine: a flag with a blue band over a yellow band. The flag uses the colors blue and yellow as a reference to the coat of arms of the city of Lviv. On the flag, the yellow and blue bands symbolize a blue sky over fields of golden wheat (Ukraine is one of the world’s largest wheat producers). On most platforms, the emoji depicts the flag as a curved rectangle resembling a flag blowing in the breeze. On Twitter, the flag is depicted as a rectangle with rounded corners. In general, the Flag of Ukraine emoji 🇺🇦 is used to refer to Ukraine, its people, and things that come from Ukraine. Ukrainians often use the emoji to express pride in their country. For example, the Flag of Ukraine emoji 🇺🇦 is often used to show support for Ukrainian sports teams and athletes. In early 2022, when Russia invaded Ukraine, people around the world used the Flag of Ukraine emoji 🇺🇦 in social media posts and alongside their usernames to show solidarity with Ukrainian people. It was often used alongside the Sunflower emoji 🌻 (as the national flower of Ukraine, the sunflower became a symbol of resistance and solidarity during the Russian invasion)."
🇺🇦 Flag of Ukraine emoji,https://www.dictionary.com/e/emoji/flag-of-ukraine-emoji/,"The Pisces emoji ♓ depicts the sign of Pisces, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Pisces, people whose zodiac sign is Pisces, and astrology in general. According to astrology, people who were born between February 19 and March 20 have Pisces as their sign. For this reason, you’re more likely to see the Pisces emoji ♓ used during this time as people celebrate their birthdays. Pisces is commonly known as The Fishes. The word Pisces comes from the Latin piscēs, the plural of the Latin word for fish (piscis). The Pisces emoji ♓ usually depicts the symbol of Pisces, two curved vertical lines with a straight horizontal line intersecting them. This symbol is said to represent two fish swimming in opposite directions tied together by a rope.","The Pisces emoji ♓ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Pisces (a glyph that represents fish tied by a rope) colored white imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Pisces symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Pisces symbol is instead on a pink circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Pisces emoji ♓. When the Pisces emoji ♓ is used, it is often accompanied by the word Pisces itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Pisces is commonly known as The Fishes and so it is often used alongside the Fish emoji 🐟."
🌻 Sunflower emoji,https://www.dictionary.com/e/emoji/sunflower-emoji/,"The Aquarius emoji ♒ depicts the sign of Aquarius, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Aquarius, people whose zodiac sign is Aquarius, and astrology in general. According to astrology, people who were born between January 20 and February 18 have Aquarius as their sign. For this reason, you’re more likely to see the Aquarius emoji ♒ used during this time as people celebrate their birthdays. Aquarius is commonly known as The Water Bearer or The Water Carrier. In Latin, Aquarius literally means “water-carrier,” from the Latin aqua meaning “water.” The Aquarius emoji ♒ usually depicts the symbol of Aquarius, two squiggly lines that represent waves of water.","The Aquarius emoji ♒ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Aquarius (a glyph that depicts two wavy lines representing water) in white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Aquarius symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Aquarius symbol is instead on a purple circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Aquarius emoji ♒. When the Aquarius emoji ♒ is used, it is often accompanied by the word Aquarius itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. The sign Aquarius is commonly known as The Water Bearer, and so it is often used alongside the Water Wave emoji 🌊 and/or the Amphora emoji 🏺 (an amphora is a large jar that was used to hold liquids in ancient history)."
⛎ Ophiuchus Emoji,https://www.dictionary.com/e/emoji/ophiuchus-emoji/,"The Taurus emoji ♉  depicts the sign of Taurus, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Taurus, people whose zodiac sign is Taurus, and astrology in general. According to astrology, people who were born between April 20 and May 20 have Taurus as their sign. For this reason, you’re more likely to see the Taurus emoji ♉ used during this time as people celebrate their birthdays. Taurus is commonly known as The Bull (Taurus is Latin for “bull”). The Taurus emoji ♉ usually depicts the symbol of Taurus, a circle topped with horns used to represent the head of a bull.","The Taurus emoji ♉ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Taurus (a glyph that resembles the head of a bull) colored white imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Taurus symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Taurus symbol is instead on a reddish-orange circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Taurus emoji ♉. When the Taurus emoji ♉ is used, it is often accompanied by the word Taurus itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Taurus is commonly known as The Bull and so the Taurus emoji ♉ is frequently used alongside the Ox emoji 🐂."
♉ Taurus Emoji,https://www.dictionary.com/e/emoji/taurus-emoji/,"The Capricorn emoji ♑ depicts the sign of Capricorn, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Capricorn, people whose zodiac sign is Capricorn, and astrology in general. According to astrology, people who were born between December 22 and January 19 have Capricorn as their sign. For this reason, you are more likely to see the Capricorn emoji ♑ used during this time as people celebrate their birthdays. Capricorn is commonly known as The Goat. Capricorn’s name comes from the Latin Capricornus (a translation of the Greek aigókerōs, which means “ goat-horned”). Capricornus is the name of the related constellation shaped like a sea-goat. The Capricorn emoji ♑ usually depicts the symbol of Capricorn, which is a mythical creature that is half-goat and half-fish.","The Capricorn emoji ♑ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Capricorn (a glyph that depicts a simplified drawing of a mythical sea goat) in white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Capricorn symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Capricorn symbol is instead on a purple circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Capricorn emoji ♑. When the Capricorn emoji ♑ is used, it is often accompanied by the word Capricorn itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. The sign Capricorn is commonly known as The Goat and so the Capricorn emoji ♑ is frequently used alongside the Goat emoji 🐐."
♈ Aries Emoji,https://www.dictionary.com/e/emoji/aries-emoji/,"The Aries emoji ♈ depicts the sign of Aries, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Aries, people whose zodiac sign is Aries, and astrology in general. According to astrology, people who were born between March 21 and April 19 have Aries as their sign. For this reason, you are more likely to see the Aries emoji ♈ used during this time as people celebrate their birthdays. Aries is commonly known as The Ram (Aries is Latin for “ram”), and the Aries emoji ♈ usually depicts the symbol of Aries, which resembles the horns of a ram.","The Aries emoji ♈ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Aries (a glyph that depicts the head of a ram) in white and imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Aries symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Aries symbol is instead on a red circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Aries emoji ♈. When the Aries emoji ♈ is used, it is often accompanied by the word Aries itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Aries is commonly known as The Ram and so the Aries emoji ♈ is frequently used alongside the Ram emoji 🐏."
♓ Pisces emoji,https://www.dictionary.com/e/emoji/pisces-emoji/,"The Tiger emoji 🐅 depicts a tiger with orange fur and black stripes. It is commonly used to discuss real, fictional, and metaphorical tigers. The emoji is also often used to refer to things named after tigers, such as sports teams. The Tiger emoji 🐅 may also be used to refer to the Year of the Tiger in the Chinese zodiac, especially if the current year or a person’s birth year is the Year of the Tiger. The usage of the Tiger emoji 🐅 overlaps heavily with the Tiger Face emoji 🐯, and the two may be used together.","The Tiger emoji 🐅 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a tiger with orange fur and black stripes facing the left. Depending on the platform, the tiger may be depicted realistically or stylized. The WhatsApp version of the emoji has whiskers, and the Twitter version of the emoji has only two visible legs. Tigers are popular animals that can be found in many of the world’s zoos and animal preserves and are often depicted in popular culture. For this reason, both the Tiger emoji 🐅 and the Tiger Face emoji 🐯 are used to talk about actual tigers, fictional tiger characters such Disney’s Tigger or Kellogg’s Tony the Tiger, or sports teams named after tigers, such as the Clemson Tigers or the Cincinnati Bengals. Both of these emoji are also used to refer to the Year of the Tiger, one of the 12 years named for animals as part of the 12-year cycle that makes up the Chinese zodiac. The years 2022, 2010, 1998, and 1986 are some examples of years that would be considered to be Years of the Tiger according to the Chinese zodiac."
🐟 Fish emoji,https://www.dictionary.com/e/emoji/fish-emoji/,"The Fish emoji 🐟 depicts a blue fish. It is commonly used to represent all varieties of fish, both literally and figuratively. The Fish emoji 🐟 is commonly used when discussing fish as food, pets, or marine wildlife. The Fish emoji 🐟 is frequently used to refer to all kinds of aquatic wildlife in addition to types of fish. The emoji is also often used in fish-based idioms and figures of speech. The Fish emoji 🐟 is often used alongside the Pisces emoji ♓ to refer to the zodiac sign of Pisces, which is known as “the Fishes” and is often represented by fish or a fish.","The Fish emoji 🐟 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a blue or blue and white fish facing toward the left. Depending on the platform, the fish may be depicted realistically or be stylized. The exact color, number of fins, and possible species of the fish vary by platform. The Fish emoji 🐟 is a commonly used emoji to refer to literal and figurative fish. The emoji is used to discuss seafood, fish kept as pets, fish raised in captivity, wild fish, and the sport of fishing. Besides fish, the Fish emoji 🐟 is often used to refer to other aquatic wildlife such as whales, jellyfish, and the cast of Spongebob Squarepants. At the same time, the Fish emoji 🐟 is often used alongside fish-based figures of speech, fish puns, or wordplay involving fish. The Fish emoji 🐟 is often used with or in place of the Pisces emoji ♓ to refer to the sign of Pisces. Typically, people born between February 19 and March 20 are said to have Pisces as their zodiac sign. Because of this, the Fish emoji 🐟 is often used during this time by fans of astrology to wish Pisces a happy birthday."
💘 Heart With Arrow emoji,https://www.dictionary.com/e/emoji/heart-with-arrow-emoji/,"The Sunflower emoji 🌻 depicts a sunflower. It is commonly used to represent sunflowers, nature, and sunny weather. The Sunflower emoji 🌻 is also sometimes used in reference to the state of Kansas, which is known as the “Sunflower State” and whose state flower is the wild sunflower. In early 2022, there was a significant increase in use of the Sunflower emoji 🌻 on social media, specifically as a symbol of solidarity with the Ukrainian people during the 2022 Russian invasion of Ukraine, whose national flower is the sunflower. In this context, the Sunflower emoji 🌻 was often used alongside the Flag of Ukraine emoji 🇺🇦.","The Sunflower emoji 🌻 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a bright yellow sunflower with a stalk and two green leaves. Depending on the platform, the sunflower is either depicted realistically or is stylized. In 2022, the sunflower became a symbol of resistance among the Ukrainian people during the Russian invasion of Ukraine, whose national flower is the sunflower. Use of the Sunflower emoji 🌻 as a symbol of resistance and solidarity increased after a viral video showed a Ukrainian woman confronting Russian soldiers and telling them to fill their pockets with sunflower seeds so that sunflowers would grow after they were killed in battle. Many people on social media began to use the Sunflower emoji 🌻 and the Flag of Ukraine emoji 🇺🇦 in posts or after their username as a way to show support for Ukraine."
🥌 Curling Stone emoji,https://www.dictionary.com/e/emoji/curling-stone-emoji/,"The Curling Stone emoji 🥌 depicts a curling stone, which is used in the game of curling. It is most commonly used to refer to curling. The Curling Stone emoji 🥌 sees increased usage during the Winter Olympics, which includes curling events.","The Curling Stone emoji 🥌 was approved under Unicode 10.0 in 2017. On most major platforms, the emoji depicts a curling stone with a red handle pointing toward the right. The WhatsApp version instead has a blue handle. Depending on the platform, the curling stone may be depicted realistically or it may be stylized."
