unicode,emoji,cldr,cldr_link,meaning,note,unicode_text
U+1F600,😀,grinning face,grinning-face,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone can also be patronizing, passive-aggressive, or ironic, as if saying This is fine when it’s really not.",-,Slightly Smiling Face was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.
U+1F603,😃,grinning face with big eyes,grinning-face-with-big-eyes,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronym ROFL). Sheds two tears and tilts right on most platforms. Often conveys hysterical laughter more intense than 😂 Face With Tears of Joy. Microsoft's design previously featured a smiley with hands and feet. ",-,Rolling on the Floor Laughing was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.
U+1F604,😄,grinning face with smiling eyes,grinning-face-with-smiling-eyes,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor. Not to be confused with 😃 Grinning Face With Big Eyes or 😄 Grinning Face With Smiling Eyes, which have the same smiles but more expressive eye shapes.  This emoji has a cat variant, 😺 Grinning Cat Face.",-,Grinning Face was approved as part of Unicode 6.1 in 2012 and added to Emoji 1.0 in 2015.
U+1F601,😁,beaming face with smiling eyes,beaming-face-with-smiling-eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement. Similar to 😀 Grinning Face but with taller, more excited eyes. ",-,Grinning Face with Big Eyes was approved as part of Unicode 6.0 in 2010 under the name “Smiling Face with Open Mouth” and added to Emoji 1.0 in 2015.
U+1F606,😆,grinning squinting face,grinning-squinting-face,"Has the same grin and eyes as 😄 Grinning Face With Smiling Eyes but with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if saying Whew! and wiping sweat from the forehead. ",-,Grinning Face with Sweat was approved as part of Unicode 6.0 in 2010 under the name “Smiling Face with Open Mouth and Cold Sweat” and added to Emoji 1.0 in 2015.
U+1F605,😅,grinning face with sweat,grinning-face-with-sweat,"A yellow face with a slight smile or open mouth shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic. Not to be confused with the more mischievous or sexual 😏 Smirking Face. An emoji form of the ;) emoticon.",-,Winking Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F923,🤣,rolling on the floor laughing,rolling-on-the-floor-laughing,"A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud. Prior to 2017, Apple's design resembled its 😬 Grimacing Face. 🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨",-,Beaming Face with Smiling Eyes was approved as part of Unicode 6.0 in 2010 under the name “Grinning Face with Smiling Eyes” and added to Emoji 1.0 in 2015.
U+1F602,😂,face with tears of joy,face-with-tears-of-joy,"A yellow face with smiling eyes, a closed smile, rosy cheeks, and several hearts floating around its head. Expresses a range of happy, affectionate feelings, especially being in love. The placement of the hearts varies slightly by platform. Apple's design features the same expression as its ☺️ Smiling Face emoji design.  ",-,Smiling Face with Hearts was approved as part of Unicode 11.0 in 2018 under the name “Smiling Face with Smiling Eyes and Three Hearts” and added to Emoji 11.0 in 2018.
U+1F642,🙂,slightly smiling face,slightly-smiling-face,"A yellow face with a broad, open smile and scrunched, X-shaped eyes. Often conveys excitement or hearty laughter. Similar to 😀 Grinning Face but with eyes that might say Squee! or Awesome! An emoji form of the >< or xD emoticons.",-,Grinning Squinting Face was approved as part of Unicode 6.0 in 2010 under the name “Smiling Face with Open Mouth and Tightly-Closed Eyes” and added to Emoji 1.0 in 2015.
U+1F643,🙃,upside-down face,upside-down-face,"A yellow smiley face melting into a puddle.  The eyes and mouth slip down the face, yet still maintain a distorted smile. This quality lends this emoji to sarcasm. Can be used literally to talk about extreme heat. Can also be used metaphorically to talk about embarrassment, shame, a slowly sinking sense of dread, or feeling overwhelmed in some way. 🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.",-,Melting Face was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.
U+1FAE0,🫠,melting face,melting-face,"A yellow face with smiling eyes and a broad, closed smile turning up to rosy cheeks. Often expresses genuine happiness and warm, positive feelings. An emoji form of the ^^ emoticon. On Snapchat, this emoji next to a contact denotes that you message that person often but they aren't your #1 Best Friend.",-,Smiling Face with Smiling Eyes was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F609,😉,winking face,winking-face,"A yellow face with a big grin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing.  Named the Oxford Dictionaries 2015 Word of the Year, and the most used emoji on all platforms from 2011-2021. Briefly overtaken as the top emoji on Twitter in 2021 by 😭 Loudly Crying Face, though as of January 2022 it has reclaimed its top position on the platform. See also: 🤣 Rolling on the Floor Laughing which expresses more intense laughter; or cat variant: 😹 Cat Face With Tears of Joy.",-,Face with Tears of Joy was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F60A,😊,smiling face with smiling eyes,smiling-face-with-smiling-eyes,"A classic smiley, turned upside down. Implemented as a flipped version of 🙂 Slightly Smiling Face on most platforms. Commonly used to convey irony, sarcasm, joking, or a sense of goofiness or silliness. Its intent can be similar to the bemused Oh well! of 🤷 Person Shrugging or the shruggie emoticon, ¯\_(ツ)_/¯. Microsoft's design previously featured a full-toothed grin.",-,Upside-Down Face was approved as part of Unicode 8.0 in 2015 and added to Emoji 1.0 in 2015.
